Race No.,Time (s)
5135,12203
5771,12207
5368,12213
19046,12214
3142,12215
16699,12219
21733,12221
18727,12222
18730,12223
18728,12224
21804,12228
1278,12254
21467,12255
7009,12259
6855,12269
41057,12277
34887,12309
13558,12320
34601,12321
34691,12321
26288,12322
26272,12324
27199,12324
34611,12325
34699,12326
17798,12327
34758,12330
34741,12333
34763,12333
34770,12333
28614,12333
34624,12334
34794,12335
27768,12336
34670,12337
34698,12337
34685,12337
34728,12338
29360,12338
35391,12339
30321,12340
34737,12341
34751,12341
34659,12342
34664,12343
34775,12344
17749,12347
15110,12367
18079,12373
18142,12376
34782,12382
34692,12393
19258,12395
35418,12401
5870,12409
4389,12410
6589,12411
6358,12414
18997,12417
18451,12439
17965,12442
18452,12442
17961,12444
26560,12448
9472,12451
10690,12452
18523,12453
18528,12454
17724,12455
18522,12456
9569,12464
17881,12479
21810,12487
18450,12510
3686,12511
5837,12512
18672,12515
35069,12517
27251,12523
27684,12525
18525,12527
26682,12535
9058,12540
27765,12545
5629,12602
35620,12609
6595,12611
5426,12613
22721,12622
34750,12627
6414,12631
27794,12633
19323,12635
34617,12636
4486,12643
5190,12645
1430,12650
20878,12650
40908,12678
19047,12683
18526,12685
10522,12687
5041,12688
34876,12689
2210,12690
3945,12693
18505,12694
31095,12695
23159,12698
18458,12707
20184,12708
18671,12710
18669,12711
18529,12715
31051,12715
15092,12716
34745,12717
5616,12725
34689,12731
2186,12734
2384,12736
8746,12742
34682,12743
34700,12745
34717,12746
34633,12750
3598,12752
7060,12752
6293,12756
19390,12761
34690,12762
17753,12762
17756,12762
19322,12762
34663,12766
9449,12766
34704,12769
9674,12769
18785,12772
9715,12774
2450,12777
2999,12778
23021,12778
30322,12783
35838,12784
18863,12786
18784,12787
18866,12788
6974,12790
19321,12793
3688,12795
34790,12798
26268,12806
34772,12807
34656,12809
18098,12809
35238,12812
34672,12826
6234,12854
1702,12858
12631,12858
34994,12860
18168,12862
5520,12863
18670,12868
1719,12869
2798,12869
42269,12870
18460,12875
34719,12880
3189,12884
19457,12886
18588,12887
11720,12892
18530,12893
16675,12895
17677,12896
24721,12896
8793,12897
17682,12897
35377,12898
17680,12898
25281,12898
17679,12900
17676,12901
9294,12903
10294,12905
9352,12906
11545,12908
35398,12909
34660,12915
18395,12918
28897,12918
18393,12922
17960,12932
18467,12932
23842,12944
12314,12962
26334,12963
34857,12973
34931,12978
10208,12986
11679,12992
24810,12995
16475,13007
28879,13007
7443,13008
18097,13008
35179,13010
17726,13013
18105,13013
2783,13027
19045,13033
28736,13034
27715,13043
3994,13046
21559,13052
3004,13053
6926,13056
30791,13058
3832,13060
17264,13060
2154,13062
8713,13063
19246,13063
21048,13063
19484,13065
3141,13069
21469,13069
23036,13069
6307,13071
2903,13072
4416,13072
20923,13072
2452,13073
1778,13075
2464,13075
22349,13075
7071,13077
12352,13077
1818,13080
5276,13081
19259,13083
4029,13084
18905,13084
1701,13085
4037,13087
18904,13087
2306,13088
16547,13089
7115,13090
19324,13093
34727,13105
35445,13111
22530,13112
18449,13115
1687,13135
26353,13138
35446,13139
19314,13140
24920,13146
9777,13149
28315,13150
9405,13151
34825,13152
18982,13158
19474,13161
18986,13168
4233,13169
7491,13170
13541,13170
25968,13170
10343,13175
22984,13176
22985,13177
9991,13178
26461,13178
29465,13178
34733,13181
8729,13181
6174,13183
26243,13183
12170,13185
8046,13186
18688,13186
18287,13186
29181,13186
17959,13188
18468,13188
26241,13188
18309,13191
28658,13191
10458,13192
18030,13192
18546,13192
3905,13193
18558,13193
1570,13194
17727,13194
18453,13194
20215,13194
34605,13195
24889,13195
29743,13195
19001,13196
19048,13198
34869,13199
18143,13199
28739,13200
30323,13203
7910,13205
3008,13207
34748,13209
34738,13210
7972,13213
35440,13222
3137,13223
8359,13224
35887,13226
10811,13228
6476,13233
34729,13233
2142,13234
5005,13235
21886,13239
2781,13244
6084,13247
4251,13249
31094,13253
2823,13255
7373,13256
23989,13269
18507,13270
4085,13272
20267,13277
3129,13281
34604,13285
16447,13287
19247,13287
21426,13287
21472,13295
18134,13299
42292,13302
17206,13302
28117,13303
1676,13306
8011,13306
41280,13306
17929,13306
18094,13306
17690,13307
25190,13307
18100,13308
19263,13308
27505,13309
34932,13311
28618,13312
19293,13313
10727,13316
11593,13317
34856,13318
29591,13318
3592,13319
1874,13322
35706,13322
17736,13327
2666,13334
5452,13337
18981,13339
40693,13342
18983,13344
18990,13344
19248,13350
19475,13351
1386,13352
26307,13355
19375,13357
16687,13360
1785,13362
23430,13362
6275,13363
35826,13364
26649,13367
19165,13369
3172,13372
6396,13372
20373,13375
2376,13376
18864,13378
7158,13379
6734,13380
17791,13382
19326,13382
35344,13384
16849,13386
19344,13387
27180,13388
34641,13389
12391,13392
28745,13392
26263,13393
9938,13395
34761,13396
19458,13396
8951,13398
19295,13399
13198,13404
26240,13405
2059,13411
34638,13415
29031,13416
7775,13417
35423,13421
34735,13428
13228,13429
21558,13432
6435,13434
42155,13445
42156,13445
18261,13445
3615,13446
5387,13447
18906,13448
18984,13450
7041,13451
40790,13453
19051,13464
34695,13466
42236,13467
20599,13469
9546,13471
18599,13471
31110,13471
6981,13473
19029,13475
17799,13476
6218,13478
17924,13479
17801,13480
18020,13480
5567,13481
17797,13481
42227,13482
11856,13485
20152,13485
1472,13486
22076,13486
35287,13487
9074,13487
18371,13488
19052,13489
19260,13490
10880,13491
18372,13491
16535,13492
6390,13493
2300,13493
18370,13494
3139,13495
34723,13497
18446,13500
35888,13501
17879,13506
35020,13507
18222,13507
18223,13508
11660,13512
24904,13517
29527,13517
25696,13521
40851,13524
28741,13525
25151,13529
5659,13543
12625,13549
18903,13550
20736,13550
18650,13553
25031,13553
29257,13555
11139,13556
1758,13557
4340,13558
18841,13558
18455,13559
4183,13560
6085,13564
27915,13565
7908,13567
23100,13569
9435,13572
28437,13573
22001,13575
16439,13579
2375,13582
11766,13582
18783,13582
7865,13584
34706,13587
19750,13587
20606,13587
9102,13588
35484,13588
18987,13588
16756,13589
18166,13590
3080,13592
19000,13592
6286,13593
19166,13593
1723,13595
18169,13598
4557,13601
11300,13601
8485,13602
34715,13603
18145,13604
26610,13605
25892,13606
4926,13607
7760,13608
34652,13610
18135,13610
17880,13613
34792,13614
20605,13615
20720,13618
11217,13621
18806,13621
31109,13622
29705,13623
31108,13623
3716,13627
19050,13627
20374,13628
19879,13630
23286,13631
18533,13633
17681,13634
28780,13634
7640,13635
10896,13637
18668,13640
19043,13642
18555,13644
18640,13646
6741,13647
2028,13650
16459,13650
34702,13651
6176,13651
10426,13651
41041,13653
34959,13654
11212,13654
5998,13655
42263,13661
23498,13663
25813,13663
20954,13667
16660,13669
35348,13670
41264,13671
9470,13671
10018,13672
1603,13673
19493,13673
9556,13677
13393,13679
4103,13680
6081,13680
18686,13680
25261,13681
25723,13681
4257,13683
3622,13685
13588,13685
17630,13685
18551,13687
29380,13688
4562,13689
6547,13690
27455,13692
1759,13693
5402,13694
19395,13695
3187,13697
35274,13697
35237,13698
19042,13698
8536,13701
18687,13701
26482,13704
